	sentence	annotation
220	"Where did the expression ""a sitting duck"" come from?"	non_argument
221	Is Egypt bordered by the Gaza Strip?	non_argument
222	Is Egypt the most populated country in Africa?	non_argument
223	Does Egypt have political influence in the Middle East?	non_argument
224	When was the Six Day War?	non_argument
225	What religions has Egypt outlawed?	non_argument
226	What is the poulation of Egypt?	non_argument
227	Why does most of Egypt's population live near the Nile?	non_argument
228	Are there a large number of Jews living in Egypt today?	non_argument
229	During what period was Akhenaten a Pharaoh?	non_argument
230	Is Egypt in Asia?	non_argument
231	Does Egypt receive the least rainfall in the world?	non_argument
232	Does Egypt's foreign policy operates along moderate lines?	non_argument
233	Since when has Egypt been a republic?	non_argument
234	When were the Great Sphinx and the Pyramids of Giza built?	non_argument
235	What countries border Egypt?	non_argument
236	What is the estimated population of Egypt?	non_argument
237	Does snow fall in Egypt?	non_argument
238	When did organized agriculture appear in the Nile Valley?	non_argument
239	Are elephants the largest land animals alive today?	non_argument
240	Can an elephant kill a rhinoceros?	non_argument
241	Are elephants good swimmers?	non_argument
242	How many living species of African Elephants are there?	non_argument
243	How long may elephants live?	non_argument
244	Why does the phrase 'elephants never forget' have no metaphorical meaning?	non_argument
245	How many living species of Asian Elephants are there?	non_argument
246	How much do elephants weight at birth?	non_argument
247	What did Aristotle say about elephants?	non_argument
248	Are elephant populations in West Africa generally small and fragmented?	non_argument
249	Is the Asian elephant larger than the African?	non_argument
250	Is an elephant's skin tough?	non_argument
251	How do elephants communicate over long distances?	non_argument
252	When do African elephants lie down?	non_argument
253	How long is the elephant's gestation period?	non_argument
254	How many species of African elephants have been proposed?	non_argument
255	What are the elephant's ears important for?	non_argument
256	What land animal has the largest brain?	non_argument
257	Are elephants mammals?	non_argument
258	Have elephants been used as working animals?	non_argument
259	Do they prefer forested areas?	non_argument
260	What is the world population of Asian elephants?	non_argument
261	What part of an elephant is very important for temperature regulation?	non_argument
262	Where was the largest elephant ever recorded shot?	non_argument
263	Is an Asian elephant smaller than an African elephant?	non_argument
264	What land animal is larger than an elephant?	non_argument
265	Has tusklessness become a rare abnormality?	non_argument
266	Were the treaties signed in 1947 and 1948 with the Ukraine?	non_argument
267	Is Finnish a member of the Baltic-Finnic subgroup of the Uralic languages?	non_argument
268	Is the most read newspaper in Finland Taloussanomat?	non_argument
269	Which Russian army general conquered Finland in 1809?	non_argument
270	What is the life expectancy for men in Finland?	non_argument
271	"In what year were the ""Games of the XV Olympiad"" held?"	non_argument
272	What body of water lies to the south of Finland?	non_argument
273	Name an animal that is growing in number due to recent conservation efforts	non_argument
274	Today, are there more cell phone subscriptions than people in Finland?	non_argument
275	Is Matti Vanhanen the Prime Minister of Finland?	non_argument
276	Is the capital city Oslo?	non_argument
277	Does it have a border with Norway?	non_argument
278	What is the life expectancy for men?	non_argument
279	What is the biggest city in Finland?	non_argument
280	Who is the most popular rock group in Finland?	non_argument
281	What is Finland's economy like?	non_argument
282	Where is Finland located?	non_argument
283	What is the weather like in summer?	non_argument
284	Does salmon remain the favorite of fly rod enthusiasts?	non_argument
285	Are there cathedrals scattered all across Finland?	non_argument
286	According to Reader's Digest, is Finland best for living?	non_argument
287	When did the first verifiable written documents appear?	non_argument
288	What is the capital city?	non_argument
289	What is the most extensively celebrated holiday?	non_argument
290	Does a large proportion of the population speak Swedish as its mother tongue?	non_argument
291	Do women live longer than men?	non_argument
292	What is a country with which Finland is involved in an international conflict?	non_argument
293	What is Helsinki?	non_argument
294	What is concentrated in the southern part of the country?	non_argument
295	What is spoken natively by a 5.5 percent minority?	non_argument
296	What do jari litmanen and sami hyypiÃ¤ have in common?	non_argument
297	Is it true that he composed finlandia in 1899?	non_argument
298	Is it true that it has borders with sweden?	non_argument
299	What did Finland join in 1995?	non_argument
300	Is finnish culture indigenous?	non_argument
301	Is finnish architecture famous?	non_argument
302	What situated in Northern?	non_argument
303	What arrived in Finland?	non_argument
304	What ceded by Finland?	non_argument
305	Lunch is what?	non_argument
306	Who is the autonomous Ãland Islands , where Finnish is not compulsory due to Swedish being the sole official language of the province . ?	non_argument
307	The earliest people were what?	non_argument
308	Are Various sporting events popular in Finland ?	non_argument
309	Are all official holidays in Finland established by acts of Parliament ?	non_argument
310	Are the people of Finland accustomed to technology and information services ?	non_argument
311	Was one of the most productive composers of popular music Toivo KÃ¤rki , and the most famous singer Olavi Virta -LRB- 1915 -- 1972 -RRB- ?	non_argument
312	Do 79 percent of the population not use the Internet ?	non_argument
313	Did the relationship between the Grand Duchy and the Russian Empire not sour when the Russian government made moves to restrict Finnish autonomy ?	non_argument
314	Is finland , officially the republic of finland (`` `` republic of finland ('' '' , or (`` `` suomen tasavalta ('' '' in finnish and (`` `` republiken finland ('' '' in swedish , the long protocol name , which is not defined by the law?	non_argument
315	Is the capital city helsinki?	non_argument
316	Is finland a democratic , parliamentary republic?	non_argument
317	Was Ford a member of the House of Representatives?	non_argument
318	For how long was Ford a member of the House of Representatives?	non_argument
319	Was Gerald Ford a member of Delta Kappa Epsilon?	non_argument
320	"Did ford get an award called ""Congressman's congressman""?"	non_argument
321	Did ford attend the University of Michigan?	non_argument
322	What positions Ford played in the school football team?	non_argument
323	What did Ford say about his biological father?	non_argument
324	Who did Ford nominate for Vice President?	non_argument
325	Was Ford active about Vietnamese affairs?	non_argument
326	hard	non_argument
327	Had Ford's wife married before?	non_argument
328	Is Ford related with the assassination of John F. Kennedy?	non_argument
329	Was Gerald Ford the 38th President of the United States?	non_argument
330	Did Gerald Ford serve as the Republican Minority Leader of the House of Representatives?	non_argument
331	Was Ford an Eagle Scout?	non_argument
332	What district was Ford elected from?	non_argument
333	How many Eagle Scouts were involved in Ford's funeral procession?	non_argument
334	Which future Heisman Trophy winner did Ford tackle?	non_argument
335	Has another US President been an Eagle Scout?	non_argument
336	Did Ford need to do extra work to pay for college?	non_argument
337	Have more than five Presidents lived past the age of 90?	non_argument
338	How do kwajalein and eniwetok relate?	non_argument
339	What did Ford receive on April 13, 1942?	non_argument
340	Was Ford released from the hospital?	non_argument
341	Was Ford interred at his Presidential Museum in Grand Rapids, Michigan?	non_argument
342	Is Ford one of only four former Presidents to live to 90 or more years of age ?	non_argument
343	Was Ford the last surviving member of the Warren Commission ?	non_argument
344	Did Grand Rapids supporters not urge him to take on Bartel J. Jonkman , the incumbent Republican congressman ?	non_argument
345	Did they not claim Ford 's pardon was quid pro quo in exchange for Nixon 's resignation ?	non_argument
346	Does Ghana have twice the per capita output of the poorer countries in West Africa?	non_argument
347	Is English Ghana's official language?	non_argument
348	Did the Dutch build the Elmina Castle?	non_argument
349	When did Ghana achieve independence from the United Kingdom?	non_argument
350	How many regions is Ghana divided into?	non_argument
351	Who is the head of state of Ghana?	non_argument
352	What is the dominant religion in Ghana?	non_argument
353	What are the two subfamilies of the Native Ghanaian languages?	non_argument
354	What is the weather like at Lake Volta?	non_argument
355	Is Ghana in Asia?	non_argument
356	Is English the official language?	non_argument
357	Is Ghana's head of state John Agyekum Kufuor?	non_argument
358	What does the word Ghana mean?	non_argument
359	Who was Kwame Nkrumah?	non_argument
360	Where is old Ghana in relation to present Ghana?	non_argument
361	Who makes up Ghana's Parliament?	non_argument
362	What European countries established states in Ghana?	non_argument
363	What was Wagadugu?	non_argument
364	What was controlled by Sundiata in 1240 AD, and absorbed into the larger Mali Empire?	non_argument
365	What connected the Akans to this Empire?	non_argument
366	Is it true that anecdotal evidence connected the akans to this empire?	non_argument
367	Is it true that the portuguese came to ghana in the 15th century?	non_argument
368	Is it true that agricultural expansion marked the period before 500?	non_argument
369	What did Ghana capture in 1642?	non_argument
370	Is The Parliament of Ghana unicameral?	non_argument
371	Is Medieval Ghana (4th- 13th Century): The Republic of Ghana is named after the medieval Ghana Empire of West Africa. named after the medieval Ghana Empire of West Africa?	non_argument
372	What was on March?	non_argument
373	The coastline is what?	non_argument
374	Ghana 's spending on education has what?	non_argument
375	Who sits at Osu Castle ?	non_argument
376	Is all teaching done in English , Ghana 's official language ?	non_argument
377	Are Native Ghanaian languages divided into two linguistic subfamilies of the Niger-Congo language family ?	non_argument
378	Are more than 100 languages and dialects spoken in Ghana ?	non_argument
379	Had the tax regime which started in 1998 a single rate but since September 2007 entered into a multiple rate regime ?	non_argument
380	Did European and other : 0.2 % Religions : Christian 63 % , African beliefs 21 % , Muslim 16 % , Facts on People of Ghana , not access July 13 , 2006 More than 100 languages and dialects are spoken in Ghana ?	non_argument
381	Does this not allow retailers of taxable goods under Act 546 to charge a marginal 3 % on their sales and account on same to the VAT Service ?	non_argument
382	Is the republic of ghana a country in west africa?	non_argument
383	What happened with the portuguese in the 15th century?	non_argument
384	Is the old ghana 500 miles?	non_argument
385	Does the Gray Wolf share an ancestry with the domestic dog?	non_argument
386	Do wolf pups tend to have darker fur than adults?	non_argument
387	Do wolves leave their pack?	non_argument
388	What kinds of coats do wolves have?	non_argument
389	Where do wolves have scent glands?	non_argument
390	How much do wolves weigh?	non_argument
391	Why do wolves howl?	non_argument
392	What is surplus killing?	non_argument
393	Are Gray Wolves native to North America?	non_argument
394	Is the Gray Wolf a mammal?	non_argument
395	Are a wolf's teeth its main weapons?	non_argument
396	Are wolves built for stamina?	non_argument
397	Where is the largest gray wolf population thought to be found?	non_argument
398	To what genus does the gray wolf belong?	non_argument
399	When do wolves molt?	non_argument
400	Why is it beneficial for alpha males and females to forcefully prevent other wolves from mating?	non_argument
401	What type of tools do biologists use to capture wolves for tagging?	non_argument
402	Forward, erect ears and slightly bristle hackles are a sign of what in wolves?	non_argument
403	Was Grover Cleveland born in New York?	non_argument
404	Did Grover Cleveland win the 1884 election?	non_argument
405	Did Grover Cleveland support women's suffrage?	non_argument
406	Where was Grover Cleveland married?	non_argument
407	What did Cleveland die from?	non_argument
408	How many years after Cleveland left office did the U.S. win the Spanish-American War?	non_argument
409	What did Cleveland's opponents say in 1884 to counter his innocent image?	non_argument
410	Who did Cleveland run against in 1884?	non_argument
411	Why did Cleveland want to hide his cancer surgery from the public?	non_argument
412	Was Grover Cleveland the twenty-seventh president of the United States?	non_argument
413	Is Grover Cleveland honest?	non_argument
414	Was Grover Cleveland married in the whitehouse?	non_argument
415	When was he elected sheriff of Erire County, New York?	non_argument
416	When did he die?	non_argument
417	Which election did Grover Cleveland win?	non_argument
418	Who were Grover Cleveland's parents?	non_argument
419	How many children did Grover Cleveland have?	non_argument
420	Who lost control of his party to the agrarians and silverites in 1896?	non_argument
421	Is it true that he sent in federal troops to chicago?	non_argument
422	Was Cleveland born in Caldwell, New Jersey to the Reverend Richard Cleveland and Anne Neal?	non_argument
423	Was Grover Cleveland elected Sheriff of Erie County, New York?	non_argument
424	Was Cleveland 's portrait on the U.S. $ 1000 bill from 1928 to 1946 ?	non_argument
425	Is he buried in the Princeton Cemetery of the Nassau Presbyterian Church ?	non_argument
426	Did the Department of the Interior not charge that the rights of way for this land must be returned to the public because the railroads failed to extend their lines according to agreements ?	non_argument
427	Did the team , sedating Cleveland with nitrous oxide -LRB- laughing gas -RRB- , not remove his upper left jaw and portions of his hard palate ?	non_argument
428	He became chief engineer in the Department of Bridges and Highways in what year?	non_argument
429	What led Becquerel to investigate the spontaneous emission of nuclear radiation?	non_argument
430	Is it true that he married louise dÃ©sirÃ©e lorieux in 1890?	non_argument
431	Is it true that he shared the nobel prize in physics?	non_argument
432	When did he marry louise dÃ©sirÃ©e lorieux?	non_argument
433	Was Becquerel elected Permanent Secretary of the AcadÃ©mie des Sciences?	non_argument
434	Was Becquerel born in Paris into a family which, including he and his son Jean, produced four generations of scientists?	non_argument
435	Who won the 1903 Nobel Prize in Physics for discovering radioactivity ?	non_argument
436	Did he not die at the age of 55 in Le Croisic ?	non_argument
437	Did one places between the phosphorescent substance and the paper a piece of money or a metal screen not pierce with a cut-out design ?	non_argument
438	What happened in 1896?	non_argument
439	What happened with a bromide emulsion in two sheets of very thick black paper?	non_argument
440	Is there a becquerel crater on the moon and a becquerel crater on mars?	non_argument
441	Are the Javanese the largest and politically dominant ethnic group in Indonesia?	non_argument
442	Is Indonesia a monarchy with a presidential system?	non_argument
443	Did the Japanese invasion and subsequent occupation during WWII end Dutch rule?	non_argument
444	In what year did East Timor secede from Indonesia?	non_argument
445	When did Islam become the dominant religion in Java and Sumatra?	non_argument
446	Does Indonesia have the world's hightest level of biodiversity?	non_argument
447	Was Indonesia named after it became an independent country?	non_argument
448	Why did Indonesia break off relations with the People's Republic of China?	non_argument
449	Which spice originally attracted Europeans to Indonesia?	non_argument
450	What is Jakarta?	non_argument
451	What shares land borders with Papua New Guinea, East Timor and Malaysia?	non_argument
452	What are the largest and politically dominant ethnic group?	non_argument
453	What happens when the srivijaya kingdom formed trade links?	non_argument
454	Is it true that indonesia has vast areas of wilderness?	non_argument
455	Is Indonesia a republic?	non_argument
456	Are Sports in Indonesia generally male-orientated?	non_argument
457	Is Indonesia the world's largest archipelagic state?	non_argument
458	Are sports in Indonesia generally male-orientated and spectator sports are often associated with illegal gambling ?	non_argument
459	Is Pencak Silat an Indonesian martial art ?	non_argument
460	Has Indonesia the world 's largest Muslim population ?	non_argument
461	Who has its own political legislature and governor ?	non_argument
462	Is it the world 's largest archipelagic state?	non_argument
463	Is it the world 's fourth most populous country and the most populous muslim-majority nation?	non_argument
464	Is indonesia a republic?	non_argument
465	What Eves?	non_argument
466	What are a rumors that he remained a virgin?	non_argument
467	Who was, by later reports of his contemporaries, thoroughly unhappy with the work?	non_argument
468	Is it true that newton saw god as the master creator?	non_argument
469	Is it true that he acquired a circle of admirers?	non_argument
470	Is it true that this contained the beginnings of the laws of motion?	non_argument
471	What did Isaac Newton place at 3 April, AD 33, which agrees with one traditionally accepted date?	non_argument
472	Was Newton outraged?	non_argument
473	Was Newton born three months after the death of his father?	non_argument
474	What died in London?	non_argument
475	What was against William?	non_argument
476	What quartered on March?	non_argument
477	Were the two in a dispute over optical discoveries at the time ?	non_argument
478	"Are Various trees claimed to be "" the "" apple tree which Newton describes ?"	non_argument
479	Was Newton outraged , and went about the work to uncover anything about Chaloner ?	non_argument
480	Was this study cast into doubt when it was later found that Newton himself wrote the study 's concluding remarks on Leibniz ?	non_argument
481	Did Newton not entertain `` a passion '' for Storer while he lodged at the Clarke house ?	non_argument
482	Does # Newton not  Third Law states that for every action there is an equal and opposite reaction ?	non_argument
483	What happened at the time of newton 's birth?	non_argument
484	What happened from school?	non_argument
485	What happened on those of aristotle?	non_argument
486	Is James Monrow the fifth president of US?	non_argument
487	What is the first word on the page?	non_argument
488	What is the first number on the page?	non_argument
489	When did Monroe's presidency expired?	non_argument
490	What is Monroe's father's name?	non_argument
491	What is Monroe's daughter's name?	non_argument
492	"What does ""Era of Good Feelings"" refers to?"	non_argument
493	Did Monroe' wedding happen at the Trinity Church in New York?	non_argument
494	What is Monroe Doctrine?	non_argument
495	Was James Monroe President of the United States?	non_argument
496	Did James Monroe attend the College of William and Mary?	non_argument
497	Did James Monroe fight in the Continental Army?	non_argument
498	Where was James Monroe born?	non_argument
499	Where was James Monroe shot?	non_argument
500	Who did James Monroe marry?	non_argument
501	What did James Monroe do before being elected governor?	non_argument
502	In which years were John Monroe elected as President?	non_argument
503	Who was John Monroe standing behind in the painting of  Washington Crossing the Delaware?	non_argument
504	When was James Monroe appointed to Secretary of War?	non_argument
505	When did James Monroe die?	non_argument
506	When did James Monroe graduate from William and Mary?	non_argument
507	When was James Monroe elected president?	non_argument
508	Which property did James Monroe sell in 1817?	non_argument
509	When did James Monroe introduce the Monroe Doctrine?	non_argument
510	Who did James Monroe live with in New York City?	non_argument
511	What did James Monroe's letters not contain?	non_argument
