	sentence	annotation
178	mechanical reaper causes rise unemployment rate farming industry	argument
179	happened	non_argument
180	crops aris kalaizis neo rauch new leipzig school andreas gursky photography	non_argument
181	middle pedal called grand pianos	non_argument
182	invariably accompanied desired result atmospheric circulation mars	non_argument
183	efforts promoted active diplomacy africa usa	non_argument
184	bloom however chinese takeaway wild tales	non_argument
185	largemouth matter throughout society economic fads booms	non_argument
186	intrinsic motivation known much desirable leads better learning wellbeing	argument
187	region also however former mayor anchorage containing offices	non_argument
188	countrysides advantages fresh air peace etc	argument
189	nowhere else give people like	argument
190	mind sports products company based existing sports modified increase	non_argument
191	family panda part	non_argument
192	death free coat arms dynamo process brings together	non_argument
193	happened positions english	non_argument
194	parents always try explain describe tenderly things simple way baby understand learn	argument
195	emerge anonymous hacked government websites protest	non_argument
196	whenever met difficulty reach consulting	argument
197	smoke exhaled smoker often makes people feel uncomfortable disgusted thus affecting mood meals	argument
198	countrys largest interviews persons linkedin resume employers look	non_argument
199	theres doubt indoor activities like reading book watching listening music bring lots joy	argument
200	reservoirs water relate	non_argument
201	people enjoy watching	argument
202	women proved every field whether indoor outdoor	argument
203	zoos offer good manmade environment prolong life span wild animals cultivate notion protecting animals	argument
204	roman catholic french polynesia special collectivity new caledonia	non_argument
205	competition among facilities inevitable part free market interfered government	argument
206	spectators since classical antiquity region named germania documented	non_argument
207	bridging theories daily life events students given chance apply knowledge lives develop ability problemsolving	argument
208	alert lester pearson eased tensions proposing	non_argument
209	times war people living badly affected countries forget gloomy environment maintain link rest world listening international sports event	argument
210	area health poorer nations normally less quantity doctors nurses compared richer nations	argument
211	leonard mlodinow normal laugh largest economy supporting	non_argument
212	average people might feel responsibility goal heavy carry	argument
213	numerous metres university maryland medical center along	non_argument
214	newsrooms formula chicago literature	non_argument
215	obligations tribes visit communication mobile social media pages turkle also speculates	non_argument
216	bring release ones heavy burden study pressure refresh human bodies hard day work	argument
217	matter fact using technology advanced facilities make food lose nutrition quality	argument
218	children curious everything around	argument
219	many documentary films life great man korea	argument
220	helps readers get updated act accordingly	argument
221	teacher welltrained use specific language quality education delivered	argument
222	beach coyote mountain lion northern flicker several smaller associated islands	non_argument
223	accordance recent research experts suggest lifestyle individuals modern society unhealthy	argument
224	keeping northwest mexico hudson bay east nfl referee	non_argument
225	total since nitric sulfuric acid water supercritical fluids although	non_argument
226	express personal thought telephones email	argument
227	environment modern world polluted significantly greenhouse gas emissions gasses	argument
228	similarities beetles grasshoppers	non_argument
229	give example prominent cities africa politically financially	non_argument
230	defeated person try try achieve goal	argument
231	society occupied violent scenes plots present	argument
232	using computer make people easier complete work	argument
233	without sufficient guidance teachers citizens might misbehave even commit crimes posing threat citizens security	argument
234	different enables much calm pacific gradual drift populations	non_argument
235	turtles pets	non_argument
236	yup’ik alutiiq much known role deserts	non_argument
237	cardiology repeated produce vibrant colours many parrots colourful	non_argument
238	get job labor market students require hard skills also soft skills teamwork presentation	argument
239	part feel behave london penguin press isbn burrows andrew holman john	non_argument
240	remote offices refugees developed political crisis crisis	non_argument
241	internet provides lot valuable information	argument
242	key composing bodies	non_argument
243	performance testing particle accelerators scale ordinary commonsense notions	non_argument
244	various zoos proper implements policies assure quality animal care	argument
245	metaethics feyerabend acknowledge pioneering significance	non_argument
246	facilities spent adequately standard living deteriorate	argument
247	salary dramatically changed	argument
248	keep reserving conventions	argument
249	long basic design drum remained unchanged	non_argument
250	communication family members visibly destroyed	argument
251	children play games much computer seriously lack communicating skills	argument
252	one per chemical molecules macromolecules supermolecules smallest	non_argument
253	festival event except given element communication proxemics explains	non_argument
254	windblown sand court country one many weaknesses world	non_argument
255	watson coined helped russian revolution psychology integrated economically culturally	non_argument
256	happen face problem ask advice friends see issue different point views accordingly help consider better advantages disadvantages	argument
257	beginning semester told buy text book	argument
258	butter marlin fishing north along ural mountains introducing convention	non_argument
259	living competent world like playing survival game	argument
260	loan teacher mountain ranges along coast landmass	non_argument
261	capital headed single parents average worth goods	non_argument
262	shall reap within high salaries	argument
263	constantly use kinds electronic letter making fellowship continuing already	argument
264	high technology new ideas applied practice may lead country flourish also elevate status international community	argument
265	hedgehogs different mint phacelia viola jointly run chesapeake bay program	non_argument
266	thanks considerate care diversity wild animal guaranteed	argument
267	teachers improve speaking slower make sure students get information want give	argument
268	hedgehogs approximately pictures city exploitation marine resources faced	non_argument
269	legal rights childcare conference event calculus expanded upon complexity	non_argument
270	parents worried childrens attitudes cult celebrity	argument
271	successful people still things already know	argument
272	parents quite experienced child	argument
273	boom sports certain sports horseracing theatre characterizes	non_argument
274	decentralized monthly notizie scritte cost one gazetta	non_argument
275	oceanic crust actively practices capital punishment egypts authorities change	non_argument
276	countyequivalents pilgrims buy home universe especially	non_argument
277	commonly remount station florida outside north atlantic subpolar	non_argument
278	ability work alone help increase ability work people	argument
279	simulate household spending therefore promote economic development whole country	argument
280	advertisement bring benefits harms lives	argument
281	people may encouraged good things	argument
282	got good grade graduation	argument
283	think killing best way solve problem neither unethical immoral	argument
284	latter neglected minority neighborhoods followed christianity according	non_argument
285	play online games days nights	argument
286	another example gastroenterologists nephrologists specialize respectively	non_argument
287	fee agreement ti̇b also part belle époque	non_argument
288	day luck appeared problems got worsened	argument
289	highest percapita methods transport hub amtrak	non_argument
290	people may disinform purpose thats rather unwise make conclusions confident information	argument
291	behavior corner near ekalaka—the long pines many big bang	non_argument
292	disturbing overlook merits advertisements bring	argument
293	pedigreed cat war since president díaz narrowly escaped assassination presidents francisco madero	non_argument
294	output ignorance obscurantism period	non_argument
295	underneath epidemics genetics surest path position	non_argument
296	research done universities proves students performance improves get regular breaks learning preparation examination schedule	argument
297	pan depend properties help describe weather averaged	non_argument
298	lack responsibilities daily struggle make childhood happiest time lives also factors like learning lots new things every day freedom imagine say think	argument
299	climate utilities disappeared alaska several vastly	non_argument
300	children learn hardship earning money	argument
301	global online network inexhaustible source information definitely exceeds fund knowledge veteran teacher accumulate	argument
302	various advertisements whether leaflets big screen showing things sorts commercial zones	argument
303	ranch coowner one ancestor included vicinity	non_argument
304	dmoz american psychological association arisen much	non_argument
305	people corrupting ecosphere	argument
306	poststructuralism million overseas visitors visitors contributed	non_argument
307	communicating emails voice mails better	argument
308	cloud classification metal bands extreme form canadian adults tertiary education	non_argument
309	develop least one personal hobby show express emotion feel depressed pressured	argument
310	critical part universities good university modern library	argument
311	pan flute used greece	non_argument
312	classified bicameral consists radio portion	non_argument
313	simonsohn journal mediterranean cities early iron age italy belgium trade	non_argument
314	die verborgene wdae city elect	non_argument
315	ultraviolet vision first discovered ants sir	non_argument
316	racial identity head relied upon united kingdom	non_argument
317	eels live fresh water	non_argument
318	regions examination care entirely nomadic lifestyle three species	non_argument
319	charging much fee adds lot burden actually jeopardizing rights	argument
320	concerts church membership first french empire	non_argument
321	economies longterm trends influence health status constituents fundamental	non_argument
322	settlements february belgium roughly half	non_argument
323	benefit future intend open companies hospitals	argument
324	modern behaviour organic chemistry closely related rather supernatural	non_argument
325	bishop bought default argentina vowed	non_argument
326	area education generally agreed poorer countries often lack teachers schools well lecturers higher education institutions	argument
327	students obtain knowledge variety academic fields	argument
328	tobacco nationwide northern terminus port tawfiq fox lot kcbstv	non_argument
329	buses cars trains regularly emit noxious gas causes lots fatal diseases lung cancer pneumonia	argument
330	every day new cars developed companies efficient others	argument
331	term successful man one certain achievements life rather one high income	argument
332	groups vertebrates statistical analysis posting video oneself singing song	non_argument
333	government invest create jobs	argument
334	exams also drawbacks	argument
335	watch football match television comfortable pleasing	argument
336	athletes try distinctive performance taking risks taking drugs failed succeed	argument
337	many species otter	non_argument
338	concentrated southern part country	non_argument
339	cycle religiosity throughout composers university washington	non_argument
340	importance social skills recognized increasing number employers	argument
341	one efficiently acquire information might come along opportunities achieve goals	argument
342	dramaticly affect people living near coast change global climate	argument
343	professional caliber native mediumsized quadrupedal predators including feline species	non_argument
344	internet library plays important role research	argument
345	foreign country chance speak foreign language friends	argument
346	activities equip child necessary skill useful future career	argument
347	benefits education make man society developed country	argument
348	pollution dieselpowered quantum chemistry physics outreach since atlanta became one	non_argument
349	also without borders electronic frontier foundation evangelical church	non_argument
350	forested country lake hood located next alternative act	non_argument
351	still places nearly every country world reached public transportation visited car	argument
352	students tuition professors also quality learning university	argument
353	paying teacher base grade students got appropriate fair teacher	argument
354	obvious example happens united state man killed ten people cinema using weapon police shot foot paralyze	argument
355	rent extra rooms apartment people rent lot cheaper	argument
356	conception coup civil war countries major encyclopedias helped define scientific	non_argument
357	economy whole society developed help agriculture real estate industry industry particularly industry pillar industry national economy	argument
358	protesters electoral earliest developments writing agriculture urbanisation organised religion sharia main	non_argument
359	internet service provided low cost even free many countries	argument
360	government take consideration first place historic traditional building preservation new building construction	argument
361	technology helped comfortable life	argument
362	many people driving private cars cause air pollution overusing plastic packages affect environment	argument
363	cities like everett tacoma port townsend bremerton olympia	non_argument
364	humans tend keep fit regularly participating outdoor activities using healthcare product obesity myopia diseases require expensive treatments never stand chance	argument
365	improved market world outside varying mix	non_argument
366	one agv declarative programming refined paradigms include procedural programming objectoriented programming functional programming	non_argument
367	sports social activities obtain analogous concern money	argument
368	everyone slow court highincome economy	non_argument
369	back university remember friend mine little savings deal major repair car	argument
370	know put high emphasis order achieve objectives	argument
371	third day swimming friendly girl came greeted became friend later taught swim effectively	argument
372	people prefer recognize globalization threat ethnic religious values people country	argument
373	already studied biology topics attending university	argument
374	stuck fashion styles disregarding worlds top fashion designers achievements stay conservative worlds	argument
375	screwhorned goat cumuliform sculpted lawyers professional duties	non_argument
376	representative glen observes real world includes different approaches	non_argument
377	people insist keep customs refuse accept new one regard special group new country	argument
378	abusing human tax new district columbia teaching staff	non_argument
379	children shown behave well others	argument
380	lines maître abbreviated adv written correspondence likewise italian law	non_argument
381	fts lüpertz peter robert keil rainer fetting notable events include	non_argument
382	addressing unemployment low priority	argument
383	formal education approaches also indispensable	argument
384	cream act ended legislative ties standing	non_argument
385	kinetic energy never changed city changed time queen elizabeth	non_argument
386	drop studies earn money	argument
387	whereas research apparently demonstrated prepared food unable support enough nutrients need especially children growing	argument
388	possible ordinary people participate actions environment protection also benefit improvement environment	argument
389	nevertheless est omen morfologia dei nomi propri persona italiani italian	non_argument
390	days hard young people get proper job degree certificate universities	argument
391	languages dividing annual seasonal cycle general jurisdiction district courts hear certain	non_argument
392	copyright representative picasso administration artists rights society	non_argument
393	small heliport balzers liechtenstein available charter helicopter flights	non_argument
394	singapore changi airport network airlines connecting singapore cities countries	non_argument
395	parents able function parental care necessary thing children	argument
396	good people always get happy ending don’t think it’s proper	argument
397	move mexican legislations percent twin towers caused extensive	non_argument
398	etisalat area however others challenged one explanation nominative	non_argument
399	lawyers oneday international cricket odi status	non_argument
400	achieved worldwide aware good without qualification pleasure example believed	non_argument
401	improve way solve problems improve take care health improve plan life future	argument
402	achieved song music literature international financial	non_argument
403	parttime job effect student study	argument
404	internet retailer amazon founded varies culture	non_argument
405	airport maintains cloud types believed smallpox	non_argument
406	crucial learn children soon possible learn financially issues	argument
407	tertiary education make students prepare specialization university	argument
408	need earn money manage life	argument
409	time influence people’s behavior bad ways	argument
410	living houses save young adults lot money	argument
411	alessandro volta egyptian	non_argument
412	physical exercises help create healthy nation assist learning direct observation finally aid financial development country	argument
413	reprogrammable multipurpose often differ macroscale communication mechanisms	non_argument
414	meditation easy way relax	argument
415	word virtual users body water structure	non_argument
416	wayne augmentative alternative avenues political reasons often part asia including	non_argument
417	atlantic maghrebi ancestry persons given	non_argument
418	see classmates performing better force making performance better	argument
419	people welsh abundances elements space telescopes enabled newspapers	non_argument
420	medicine able tolerate quite high temperatures humans	non_argument
421	canada–us relatively lower latitude compared resorts worldwide	non_argument
422	modern games may extent beneficial children foster skills computer skills capacity keep latest trend	argument
423	harmless composer big band conductor lalo schifrin among babylonians	non_argument
424	computer children access internet gather knowledge subjects studying interested	argument
425	eurocopter around reached bahamas crown colony	non_argument
426	school able identify skills required future job work mastering learning	argument
427	boasted sizeable community	non_argument
428	means using public transports less gas exhaust pumped air people longer bear stuffy situation roads always full fumes	argument
429	continue work years	argument
430	many sports asian origin often mixed bantu arab indian alaska pacific university	non_argument
431	water originates cottonwood trees forests cover approximately percent alaska peninsula many	non_argument
432	used hardened brushes sticks	non_argument
433	zoo useful earth	argument
434	measurement scene bands like los gatos sui generis almendra manal followed	non_argument
435	born precisely midnight electrical storm serbian family village smiljan near gospiä lika region croatian krajina military frontier part austrian empire presentday croatia	non_argument
436	country finland involved international conflict	non_argument
437	younger generations help generate new ideas students bound restricted workload tend greater imagination essentially helpful making new advertisement slogan	argument
438	vietnam many cultural costumes natural scenes namely ‘trong dong’ drum performance ‘ha long’ bay encouraged preserve funded tourism ministry	argument
439	preservation expensive components old buildings historical values	argument
440	rare shall keep axial tilt amount	non_argument
441	along conservatives federal offices discovered	non_argument
442	smaller predators republican presidential candidates federal state invested primarily representative responsibilities	non_argument
443	surveillance democrats years old helpless killed	non_argument
444	slightly later assists companies paper advertorials commonly advertise new products techniques	non_argument
445	first calculated value avogadros number	non_argument
446	means company give salaries employees	argument
447	france takes japan profile black belt home loan	non_argument
448	secondly identity reputation groups elements often practised	non_argument
449	eager atmosphere lasted many next days	argument
450	dragon historically served chinas national emblem	non_argument
451	give example highest growth rates city africa	non_argument
452	limited space artificial trees lakes fully compensate animals loss	argument
453	varley—were responsible sloan david proposed	non_argument
454	children take jobs tend responsibl	argument
455	states everyday examples particle physics around world islands	non_argument
456	today able read news world chat people internet travel around world planes	argument
457	student good depend whether good teacher decided effort study	argument
458	many square kilometers needed house female tigers	non_argument
459	participated often features addition groups political struggles	non_argument
460	lead big problem schools pay teachers grade students get	argument
461	exports japanese literature integrated western influences natsume sōseki mori ōgai	non_argument
462	big upper middle land transferred	non_argument
463	free visits time left alone want	argument
464	ocean anything democrat elected lieutenant governor bill bolling	non_argument
465	certainly hope reduction sorts taxes	argument
466	true onefifth world population speak form chinese	non_argument
467	life expectancy men	non_argument
468	people receive respect others feel achievement selfconfidence	argument
469	new foods medicines invented promote quantity humans life	argument
470	claims demands made mixtec habsburgs competed dominance	non_argument
471	dropped significantly immigrants coming level	non_argument
472	chikowero believes zone transitioning railroad	non_argument
473	future developments put users expense	argument
474	estimated china largest deposit coal world government want invest much money new forms energy say expensive solar batteries wind farms	argument
475	technology takes convenience humankind	argument
476	children proficient computers internet want join online games fact helps children acquire particularly powerful skill work future	argument
477	see bored watching alone	argument
478	picasso make first trip paris	non_argument
479	research projects like windows opened wider world	argument
480	word violin come middle latin word vitula meaning stringed instrument	non_argument
481	knowledge information stored ipads single click appear right eyes	argument
482	immigration wave precise eastern boundary wattles garden park	non_argument
483	group used minutes reach agreement budget takes hours later one	argument
484	purse choanoflagellates sponges leftwing nouvel observateur	non_argument
485	technique understand difficult issues industry hoped become	non_argument
486	international sporting occasions essential easing international tensions releasing patriotic emotions safe way	argument
487	good health	argument
488	city planner still opt nonpersonal vehicle exploitation suburb areas	argument
489	animals eaten plants reduced carbon compounds	non_argument
490	usages medicine may also interpreted africans afrobahamian	non_argument
491	singly almost restaurants promotion increased checkins	non_argument
492	statistics show slight reduction number smokers indicating realize effects negative habit	argument
493	communication letters email telephone enable talk without scruple also one important parts communication	argument
494	also enjoy beautiful nature outdoor activities like going hiking sunbathing going biking	argument
495	male giraffes weigh female giraffes	non_argument
496	kings metres iztaccihuatl	non_argument
497	devotees bay bridge completed psychology maintained privileged position	non_argument
498	one difficulties histories mickey mouse three little pigs turned	argument
499	picture planet earth proved earth round flat	argument
500	many facts solar system discovered	argument
501	public services arts worth investment	argument
502	need young people possess ability	argument
503	lost control party agrarians silverites	non_argument
504	columbus janeiro hosted winter olympics eric bergoust also	non_argument
505	foie gras often made ducks	non_argument
506	california problems chemistry periodic systems investigation fragile	non_argument
507	open clusters unable negative value million	non_argument
508	accommodating grapefruit cucumbers sugar cane lemons limes sweet	non_argument
509	lakes charismatic parrot species come australasia south	non_argument
510	schools qualitatively check giving appropriate education students	argument
511	remarkable sign city also inevitable history beijing even entire china	argument
512	alaska olive–harvey college truman college harold washington became	non_argument
513	step curbed numbers smokers country result brunei remains place known tranquility cleanliness	argument
514	pitches change fund office equipment childcare conference event calculus	non_argument
515	medical education preceded cambrian explosion million years ago baltica	non_argument
516	want monotonous passive ones	argument
517	constraint predicates results considered neutral territory presence	non_argument
518	state californias fagan brian california archaeologist looks	non_argument
519	children taught basic things influence whole life parents	argument
520	central park new york first shrine visit	non_argument
521	continuous use mobile phones may also damage childrens eyesight physical posture	argument
522	individual murders someone selfdefense crime heinous	argument
523	refusal southern netherlands gradually spread throughout german georg ernst stahl	non_argument
524	visits forms effects built low altitudes stratiform	non_argument
525	immature sea turtles cared adults	non_argument
526	find hard time prepare cook meal	argument
527	penguins countershaded	non_argument
528	residents employed small businesses	non_argument
529	tendency continues rapid pace written language may face real problem stand	argument
530	retreat escape intimate stories blessed fire	non_argument
531	world city cooling longwave greenhouse warming effects east	non_argument
532	two roads nantes strasbourg rennes note	non_argument
533	soon picture even kept pace	argument
534	exam felt depressed exhausted	argument
535	derive commission council learned societies surnames water	non_argument
536	peace conferences board education maintains assessment records tax collection	non_argument
537	may rent house rental become burden parents	argument
538	fachwerkstraße connects slavery abolished however offences public decency contraires aux bonnes	non_argument
539	preserve historic buildings city	argument
540	correspond liège namur popular	non_argument
541	obviously huge waste time	argument
542	forest greater less bolivia brazil chile uruguay lower	non_argument
543	instructions teachers sufficient infrastructure laboratory library students capable research every academic aspect	argument
544	ducks quack	non_argument
545	research bring funding latest achievements field	argument
546	games history life lower mandible prominent curves downward comes	non_argument
547	method used kangaroos travel	non_argument
548	good buses trains subways people inclined use less private vehicles decreases amount carbon released	argument
549	advertising primary reason unhealthy eating habits	argument
550	made monthlong backpack trip southeast asia last summer girlfriend	argument
551	political historians fell less likely	non_argument
552	dangerous vostok station antarctica coldest air temperature ever directly	non_argument
553	engaged baja also canadas grand railway hotels	non_argument
554	african elephants lie	non_argument
555	also contribute social problems	argument
556	celebrities received attention overuse drugs alcohol likely get public disgrace	argument
557	network logic programming constraint solving extends approximately million times	non_argument
558	many advantages setting university opportunities people community pursue studies creation jobs	argument
559	online committee members voted various kinds inference heat	non_argument
560	people satisfied internet sometimes even thanks	argument
561	challenges generation complicated diverse past generation whether career selfidentification	argument
562	distance longer harder achieve runner beyond limit proud	argument
563	international aid critical	argument
564	lack soft skills attained form outdoor activities agitate addict	argument
565	north american economists published reports scrutinizing recent american economic situation technology eliminating jobs creating one	argument
566	organizations digital circuit verification automated timetabling air traffic control	non_argument
567	developed success beginning century result	non_argument
568	switzerland used	non_argument
569	one best known impressionist works renoirs dance moulin galette	non_argument
570	save plenty money transportation choose live city	argument
571	research domestic water supply evidence strong atmospheric instability affiliated tampa	non_argument
572	ovulation unstable air promotes mostly cumuliform cumulonimbiform clouds clouds	non_argument
573	plan ability helps lot making climb top rank class finishing everything else	argument
574	local museum top choice destination tourist visit	argument
575	children taught balanced diets nutritious food well harmful ones	argument
576	dynasty remained prevailed formed border location objects	non_argument
