	sentence	annotation
35	Scientific facts are just too clear to deny , and it makes no legal sense to deny the legal principle , for if the law is not supposed to defend the right to life , what is it supposed to do ?	argument
36	Abortion may lead to future medical problems for the mother .	argument
37	Only a small percentage of physicians perform abortions , yet most support legal abortion in the interest of good medical care .	argument
38	Abortion gives pregnant women the option to choose not to bring fetuses with profound abnormalities to full term .	argument
39	Further , women would once more be forced to break the law to receive medical care , and once more their dignity would be lost in the process .	argument
40	In Case 2 , where the fetus is a person and you do n't know that , abortion is manslaughter .	argument
41	92 % of abortions in America are purely elective -- done on healthy women to end the lives of healthy children .	argument
42	( Rape/incest abortions ac-count for only 1 % of abortions every year according to the Guttmacher Institute , discussed below , and life-saving abortions are similarly rare . )	argument
43	This would , of course , require overturning the many , many laws passed in recent years by the GOP at the state-level aimed at doing the precise opposite , and may even require overturning the Hyde Amendment , which bars federal funding for abortion , thus preventing poor women from receiving elective abortions except in cases of rape , incest , and their lives .	argument
44	Traditional common sense and morality say all humans are persons and have rights .	argument
45	Taxpayers should n’t have to pay for what they believe is immoral .	argument
46	Being pregnant can be very hard for some women and even lead to suicide for a woman with an unwanted pregnancy .	argument
47	Differences of size , level of development , environment , and degree of dependency are not relevant such that we can say that you had no rights as an embryo but you do have rights today .	argument
48	For the first three categories , the report may indicate significant issues in lack of access : “ The overwhelming majority of second-trimester patients would have preferred to have had their abortion earlier , and our findings suggest that black women and those with less education would most benefit from increased access to early abortion services . ”	argument
49	In line with a woman ’s right to life is also her right to mitigate the risk to her person .	argument
50	"Roe-era feminists like Kate Michelman , the former president of NARAL Pro-Choice America , proclaimed abortion to be "" the guarantor of a woman 's right to participate fully in the social and political life of society . """	argument
51	This has led , on the pro-life side , to a sometimes prevalent impression that abortions for fetal defects are never necessary , but rather an excuse for “ lazy ” women to get rid of children that do n’t meet their ideals .	argument
52	On this account , killing an adult human being is wrong because it deprives the victim of a future like ours — a future containing highly valuable or desirable experiences , activities , projects , and enjoyments .	argument
53	ABORTION IS BASICALLY MURDER !	argument
54	Most think the abortion decision should be left to a woman and her doctor .	argument
55	""" Fetuses feel pain during the abortion procedure ."	argument
56	They argue that abortion is not permissible from the point at which individual human identity is realized .	argument
57	The killing of an innocent human being is wrong , even if that human being has yet to be born .	argument
58	But clearly , involuntary euthanasia is wrong ; clearly , there is a difference between imposing power on another and freely making a contract with another .	argument
59	"In fact , hundreds of women have died from abortion since Roe v. Wade according to the Centers for Disease Control and Prevention , and this is likely only a fraction of the actual number in light of the fact that several states ( including , significantly , California ) have failed to report abortion data for many years and in light of the latitude given to doctors in reporting causes of death ( e.g. , "" hemorrhage "" rather than "" induced abortion . "" )"	argument
60	A foetus in the early stages of development lacks the developed nervous system and brain to feel pain or even be aware of their surroundings .	argument
61	However , the women now has to live with a feeling of abandoning their child for the rest of her life .	argument
62	Even in the case of nonfatal conditions , such as Down syndrome , parents may be unable to care for a severely disabled child .	argument
63	This vindictive , self-righteous attitude stems from a belief that sex is bad and must be punished .	argument
64	Pregnancy can occur even with responsible contraceptive use .	argument
65	Only 46 percent said they favored making abortions more difficult .	argument
66	""" Likewise , I am saying , if you insist that abortion is the murder of children by their own mothers , and you want to criminalize abortion , you must treat women who procure abortions as murderers ."	argument
67	To deny a woman the option to abort a pregnancy when her own life is at risk is akin to forcing her to play Russian roulette .	argument
68	Example : How would you feel if your mother aborted you ?	argument
69	Social Issues : Abortion should be limited .	argument
70	That should be left up to God himself .	argument
71	If abortion is really morally equivalent to murder , why should not those morally responsible be punished as murderers ?	argument
72	It is hypocritical , in my opinion , for pro-life advocates to claim that abortion is murder and yet insist that women should not be held legally responsible for procuring abortions .	argument
73	""" If the State is interested in protecting fetal life after viability , it may go so far as to pro-scribe abortion during that period , except when it is necessary to preserve the life or health of the mother . """	argument
74	More poignantly , bearing a child while in poverty or while already overwhelmed by caregiving for other children , or perhaps while experiencing health risks , reeks of an injustice known to women alone .	argument
75	If you 're worried about discrimination , it is better to have a chance at a good life with the possibility of a bad life than having no chance at life at good life at all .	argument
76	However , the later in pregnancy an abortion is performed the more risky it becomes .	argument
77	Many foster homes and orphanages are beyond capacity ; putting a child into the foster care system would weigh even heavier on already-scarce resources .	argument
78	May even affect the social life of a woman who succeeds in this procedure .	argument
79	"The slogan , "" My Body , My Choice , "" betrays a tragic misunderstanding of what is taking place inside the womb ."	argument
80	Abortion is is not just taking out a “ fetus ” it is simply ending a human a life .	argument
81	Planned children often have better life prospects because caregivers are better prepared to support the child physically , emotionally , and financially .	argument
82	If you become a person when you can feel pain , then it makes sense to oppose abortion after a fetus can feel pain .	argument
83	Abortion foes completely missed Seuss ’s message.Even children recognize that human and person are two different concepts .	argument
84	Unfortunately , and ironically , anti-abortion legislation in multiple states aimed at reducing access by closing abortion clinics with unnecessary restrictions or requiring extra hurdles for women to obtain abortions ( like mandatory delay , ultrasounds , and/or counseling ) , has a counterproductive effect .	argument
85	The loss of life is the greatest possible loss anyone can suffer because it deprives us of all the experiences and enjoyments that otherwise would have been part of our futures , which we now value or would have come to value .	argument
86	The truth : The fact that rich women have the money to pay for killing their babies does not in any way justify giving poor women the means to also kill their babies .	argument
87	To deny poor women abortion services while paying for childbirth is unfair .	argument
88	If they get abortions , then next they ’ll be asking for Cadillacs .	argument
89	"Mother Teresa argued , simply , "" If abortion is not wrong , nothing is wrong . """	argument
90	Equality arguments focus on “ a woman ’s autonomy to determine her life ’s course , and thus to enjoy equal citizenship stature . ”	argument
91	Forcing a woman to bear a rapist ’s child is further torture of the victim of a heinous crime .	argument
92	Making contraceptives and abortion available only encourages them to have sex .	argument
93	What is not tolerable is trying to impose irrational intuitions on people who do n’t just fail to accept them but who feel that the removal of women ’s freedom is itself a moral crime .	argument
94	The legalization of abortion sends a message that human life has little value .	argument
95	The choice over when and whether to have children is central to a woman 's independence and ability to determine her future .	argument
96	We did all of this and we were the first state to do a ' choose life ' license plate .	argument
97	"One section of the classical version of the oath reads : "" I will not give a woman a pessary [ a device inserted into the vagina ] to cause an abortion ."	argument
98	Birth control and abortion do n’t cause sex , but reality dictates that they be available to help prevent teens from becoming parents .	argument
99	"Are all abortionists simply "" in it for the money "" ?"	argument
100	Humans are humans not because they have feet , hands , walk vertically , and speak , etc .	argument
101	In writings from the beginnings of Christianity to the Reformation , Christians have stood uniformly against abortion , believing it to be an act of murder and deserving of God ’s judgment .	argument
102	If your life conceives suffering and unhappiness , to , most American at least that is considered a bad life .	argument
103	The “ abortion mentality ” leads to infanticide , euthanasia , and killing of retarded and elderly persons .	argument
104	The father may even want the child , but he has no choice if the mother chooses abortion .	argument
105	Historic writings demonstrate the church 's longstanding opposition to abortion .	argument
106	Although the Catholic and Lutheran churches oppose abortion , more of their members believe abortion should be legal in all or most cases versus illegal in all or most cases ( 51 % vs. 45 % , Lutheran ; 48 % vs. 45 % , Catholic ) .	argument
107	How inconvenient that abortion is far , far safer than childbearing , which kills 800 American women each year .	argument
108	In its original form , the oath prohibits both euthanasia and abortion .	argument
109	""" The American Medical Association and the American College of Obstetricians and Gynecologists stated "" Abortion is one of the safest medical procedures performed in the United States ."	argument
110	In terms of which trimester Americans are the most accepting of abortions taking place , about 41 % agree first-trimester abortions should be permitted .	argument
111	The proposal can be simply to alter the child ’s physical dimensions and remove him or her , because , as a physical object , this body can not remain where it is without ending in both the baby ’s and the mother ’s deaths .	argument
112	Other researchers such as Anand and Fisk have challenged the idea that pain can not be felt before 26 weeks , positing instead that pain can be felt at around 20 weeks .	argument
113	And crucially , once the Supreme Court recognizes that people have a right to engage in certain conduct by virtue of equal citizenship , Americans do not count stripping them of this right as an increase in con­sti­tutional legitimacy .	argument
114	"Mother Teresa said , "" But I feel that the greatest destroyer of peace today is abortion , because it is a war against the child , a direct killing of the innocent child , murder by the mother herself ."	argument
115	"The federal Unborn Victims of Violence Act , which was enacted "" to protect unborn children from assault and murder , "" states that under federal law , anybody intentionally killing or attempting to kill an unborn child should "" be punished ... for intentionally killing or attempting to kill a human being ."	argument
116	In Case 1 , where the fetus is a person and you know that , abortion is murder .	argument
117	Only in Case 4 is abortion a reasonable , permissible , and responsible choice .	argument
118	No right then why do it to a unborn baby that is on its way to find a journey in life , I understand if a girl got raped , she would not want to have the baby but understand taking a life away is not the best option , the gift of being a mother is the most beautiful gift we can have as a women , you go through the stages of pregnancy and if that mean time you do not feel ready you can give the baby to adoption , that is the best option and now in days girls are just getting pregnant , it is not an accident anymore , why allow them to have an abortion , they have the effort to have a sexual relation now they have to learn the effort of becoming a mother and learning the consequences of their acts .	argument
119	What would the world be like if the mothers of Abe Lincoln , George Washington , or Thomas Edison had had an abortion ?	argument
120	The 14th Amendment has given rise to the doctrine of Substantive due process , which is said to guarantee various privacy rights , including the right to bodily integrity .	argument
121	The truth : Yes it is murder !	argument
122	In fact , abortion prior to Roe v. Wade was outlawed without legally defining the unborn as persons .	argument
123	IT 'S SOOO WRONG !	argument
124	One writer even prescribes a rather nasty abortion potion .	argument
125	And if we accept that a mother can kill even her own child , how can we tell other people not to kill one another ?	argument
126	If the fetus developed the sense of pain , than it is a shame .	argument
127	This assertion is not borne out by the literature : the vast majority of women tolerate abortion without psychiatric sequelae ” , a conclusion echoed in systematic reviews .	argument
128	After all , abortion implies denying someone a well-deserved life .	argument
129	The obstetric ultra-sound done typically at 20 weeks gestation provides not only pictures but a real-time video of the active life of the child in the womb : clasping his hands , sucking his thumb , yawning , stretching , getting the hiccups , covering his ears to a loud sound nearby -- even smiling .	argument
130	The body of first priority is therefore the mother ’s , and it should be her choice as to what she endures both mentally and physically .	argument
131	It is truly motherly love if she wants to sacrifice her motherhood so that the child will not live this life .	argument
132	The truth : The fact that it remains the mother 's choice to keep her baby , and most do , does nothing to justify the continued killing of innocent life in the womb .	argument
133	Parents have the right to know if their child is having an abortion .	argument
134	Fetuses aborted later in pregnancy and born alive are left to die or are killed by doctors .	argument
135	If you abort a defective fetus , you ca n’t respect or value people with disabilities .	argument
136	Most pregnancies are unplanned because of issues with access to highly reliable contraception , but some will be rape and some will be health of the mother , i.e. , women who had n't planned on getting pregnant and are happy they are pregnant , but their health is deteriorating .	argument
137	The same study found that women unable to obtain abortions were more likely to stay in a relationship with an abusive partner than women who had an abortion , and were more than twice as likely to become victims of domestic violence .	argument
138	If they did , they would actually equate murder and abortion , and their conduct — only the tiniest fringe is willing to advertise comparable penalties for both — shows that they know perfectly well that they are n’t the same .	argument
139	The reproductive rights movement has no genocide component — no one is out to kill all embryos .	argument
140	If a woman had had an abortion in her teenage years , then the risk was 100 % higher .	argument
141	Foster homes have horrible reputations and its not as often as people like to think that kids are adopted into families and live happily ever after , bringing a unwanted child into the over populated world as it is puts that child at risk for a life of pure struggle , babies should be welcomed into the world with their mother who sees them as a miracle and can provide for their child and put it through school and raise it into a life everyone deserves a chance at .	argument
142	"The unlawful taking of a human life is murder and since "" reason "" number 2 agrees that life begins at conception , this is a pro life argument against abortion ."	argument
143	When abortion restrictions reflect or enforce traditional sex-role stereotypes , equality arguments insist that such restrictions are suspect and may violate the U.S. Constitution .	argument
144	Ironically , their biggest threat is from those they claim to champion : women .	argument
145	’” ( LifeNews ) “ These babies , and we all KNOW these are babies , have committed no crimes , yet you and yours sentence them to a horrible , painful death . ”	argument
146	According to this argument , if it is not known for certain whether something ( such as the fetus ) has a right to life , then it is reckless , and morally wrong , to treat that thing as if it lacks a right to life ( for example by killing it ) .	argument
147	That is a problem and it was quite evident when we were confronted with the “ partial birth abortion ” mess .	argument
148	No compassionate person wants a woman to suffer through the personal tragedy of abortion , whether legal or illegal .	argument
149	Most women affected by these laws still have abortions , but many seek them later due to their difficulty accessing services .	argument
150	Research also suggests that the babies of such cases face a higher risk of neglect or abuse from their mothers for various reasons .	argument
151	General laws in a pluralistic society do not , and should not , consider the specific tenants of any particular religion .	argument
152	Abortion is n't the only option .	argument
153	But 40 years after Roe , most of us still do n’t think that ruling should be overturned .	argument
154	And they have to stop .	argument
155	However , Gov. Johnson recognizes that the right of a woman to choose is the law of the land today , and has been for several decades .	argument
156	Notice how vacuous the pro-choice rhetoric is if they have exceptions .	argument
157	If your worried about them feeling rejected , they may feel sad that you did n't want them , but it is likely that they will feel some gratitude that you let them live .	argument
158	At early stages of pregnancy , miscarriages and abortions have indistinguishable symptoms .	argument
159	What if the baby would be born into an unstable family ?	argument
160	Many pro-choice people attempt ( unsuccessfully ) to paint pro-life claims that unborn babies have a right to live as extremist .	argument
161	The hypothesis that women who undergo an abortion have worse mental health outcomes than those that do n’t is at heart a scientific claim and can be tested as such .	argument
162	It is ridiculous that an infant could be treated like a human being in one location ( the incubator ) and like disposable property in another ( the uterus ) .	argument
163	"We need complete reproductive healthcare , which includes the right to an abortion . """	argument
164	"All conservatives should find it easy to agree that government must uphold every person ’s right to make choices regarding their lives and that every person ’s right to live must be secured before he or she can exercise that right of choice . """	argument
165	"Giving a quick recitation of the child 's development will weaken the "" not a person yet "" mentality ."	argument
166	There is a possibility that her own life might be at risk , if she delivers the child .	argument
167	As it is attached by the placenta and umbilical cord , its health is dependent on her health , and can not be regarded as a separate entity as it can not exist outside her womb .	argument
168	They may not want to face the wrath of their parents , the embarrassment at school , or the lifetime responsibility of motherhood .	argument
169	If you are afraid that your child will have birth defects or Down syndrome , then DONT HAVE CHILDREN or you can put then for adoption !	argument
170	Image copyright @MadameClaudine1 Image caption ' If we agree that a mother can even kill her own child , how can we tell other people that they should n't kill each other ? '	argument
171	For me and my husband , who see it this way , it would have violated our moral values to carry forward a fetus infested with parasites , as in our first pregnancy , or one with knowable genetic defects , which we ruled out in the second .	argument
172	Whether or not you think abortion should be allowed , it can not be disputed that a doctor is harming a living organism .	argument
173	“ My Body , My Choice ” – Women have the right to choose what to do with their body .	argument
174	Yes it is extra traumatizing but even full grown women who are raped can be unprepared to be a mother .	argument
175	Abortion is wrong because it is taking a human life .	argument
176	Women develop an emotional bond with a child when they carry it through the full term and go through the experience of delivery .	argument
177	If you are afraid of a disease or a type of syndrome then do n't have children .	argument
178	You 're not sure there is a person there , but you 're not sure there is n't either , and it just so happens that there is a person there , and you kill him .	argument
179	Example : How does your daughter feel knowing that you killed her sibling ?	argument
180	"I have stated many times that I will always support legislation that would end abortion or lead us in the direction of ending abortion . """	argument
181	This conception of the right to privacy is operant in all countries which have adopted English common law through Acts of Reception .	argument
182	Friends and family may disapprove of this action and can cause family problems or guilt may overcome the woman causing withdrawal from social activities .	argument
183	A woman 's risk of dying from having an abortion is 0.6 in 100,000 , while the risk of dying from giving birth is around 14 times higher ( 8.8 in 100,000 ) .	argument
184	They speak of overwhelming guilt , nightmares , excessive drinking , drug abuse , promiscuity , an inability to form or maintain relationships , difficulty bonding with later children , and other ways in which they are suffering .	argument
185	No bodily rights argument that I have ever seen ( or even heard of any pro-choice advocate making ) leaves room for exceptions .	argument
186	A 2005 multidisciplinary systematic review in JAMA in the area of fetal development found that a fetus is unlikely to feel pain until after the sixth month of pregnancy .	argument
187	Many corporations have faced criticism because women face much discrimination simply due to the fact that they bear children .	argument
188	"Regarding parental notification , I would oppose any legislation that does not include a bypass provision for minors who have been victims of , or have reason to fear , physical or sexual abuse . """	argument
189	Prior to the recognition of this procedure and the modernization of medicine , back-alley abortions used to be via coat hangers , illegal or unregulated pharmaceutical products , knitting needles or a punch to the stomach .	argument
190	If we criminalize abortion , many woman will simply look for other ways to get rid of the child .	argument
191	As with everything , there are elements around a pregnancy that can lead to complications for the woman .	argument
192	What if the birth guaranteed your death ?	argument
193	It removes the jurisdiction from the federal courts which allows the states to pass protection to the unborn .	argument
194	"Acceptance of an implantation-based definition of "" pregnancy "" would allow abortion providers to mischaracterize pills and technologies that work after conception but before implantation as "" contraception , "" making them potentially less subject to regulation and certainly more accept-able and attractive to consumers ."	argument
195	Tests showing birth defects are not done until the 16th week ; and some women do not discover they ’re pregnant until this time .	argument
196	Kids who are born into families that ca n’t afford to raise them right end up in the wrong path in life and go through very hard things .	argument
197	“ Fifty-five million Americans have died as a result of legalized abortion in the last four decades , ” march organizer Jeanne Monahan lamented in her opening remarks .	argument
198	At one point , Justice Stephen Breyer asked whether the state had passed the law in reaction to any found medical issues , and lawyers for the state responded by arguing that it intended to reduce the 210 complications per year related to abortion ( from over 70,000 procedures ) .	argument
199	The state has a duty to protect its citizens ; sometimes , protecting its citizens does not involve fighting wars but providing the infrastructure to safely conduct sound medical procedures .	argument
200	Example : The fetus is alive and has human parents and human DNA so we know they are human .	argument
201	I bet that there are many couples who would love to adopt a child , probably because they ca n't have kids !	argument
202	The movement said they were only used in rare circumstances of fetal deformity of when the womans ’ health/life was in danger .	argument
203	Advancements in the medical field have dramatically reduced complications from abortion , studies show that it is actually safer than carrying a pregnancy to full term .	argument
204	As Stephen Schwarz points out , there is no morally significant difference between the embryo that you once were and the adult that you are today .	argument
205	I think it is perfectly possible to consider abortion immoral and still maintain it should be legal .	argument
206	I know of no other non-emergency , elective medical procedure in which it is considered controversial to ascribe authority -- and responsibility -- to parents when the patient is a minor .	argument
207	We stand in solidarity with women who have been betrayed by those they count on the most , with women who have underestimated their own strength , with women who have experienced abortion and are silent no more , with young men and women who mourn their missing siblings .	argument
208	Doctors make large profits from legal abortion .	argument
209	It has also been reported that the mothers of entertainers Celine Dion , Cher , and Justin Bieber were either advised to have abortions or were considering the procedure , but chose to give birth to their babies instead .	argument
210	Also , the doctors who perform the abortion , should be put in prison for life .	argument
211	"Pro : "" This legislation [ Child Interstate Abortion Notification Act ( HR 748 ) ] protects young girls from being pressured to cross state lines for a secret abortion , and it stands up for the parents ’ right to protect their daughters ’ health and well-being and give them guidance ... I think we should all be able to agree that parents need to know about a crucial matter like this ."	argument
212	Do we want to saddle society with the added burden ?	argument
213	But despite the science simply not supporting the assertions of the anti-abortion brigade , the myth persists .	argument
214	The position of The National Catholic Bioethics Center appears to be that there would be no justification in inducing labor in a case of pulmonary hypertension because while the pregnancy ( and the placenta ) is making increased demands on the patient 's weakened heart , the placenta itself is performing its natural function , is not a diseased organ , and therefore may not be targeted for removal .	argument
215	It is the woman ’s right as a mother to decide what is best for her child .	argument
216	For a few hundred bucks you can free yourself from the cost of raising a child , while also freeing yourself from the eventual care and support of a grown son or daughter .	argument
217	If you say no because it will become a human , then you admit that it has human nature and is alive .	argument
218	Even if only a minority believed in freedom of choice , that right should be protected from the tyranny of the majority .	argument
219	Relatively a 3 to 4 fold increase in the chance on miscarriage among women who have had an abortion , as those who have not had an abortion .	argument
220	Giving birth certainly carries its own set of risk factors .	argument
221	If every snowflake is precious in His sight , God has a peculiar way of showing it , because spontaneous abortion is a critical part of reproduction — one of the key mechanisms for producing healthy babies .	argument
222	We must pass a “ human life amendment ” to the Constitution , declaring the unborn to be full persons from the moment of conception .	argument
223	One of the greatest moral achievements of human history — the full emancipation of women — should not be seconded to a metaphysical intuition , one with no scientific support or even coherent meaning : that a fertilized egg makes the same moral claims as an entire person .	argument
224	Adoptable babies are also scarce today because 94 % of unwed mothers keep their babies .	argument
225	If you want to define person as a member of the human species , from conception to death , you are going to have to enumerate all the rights unborn persons do and do n't have .	argument
226	Abandoning this infant to die would simply never be tolerated .	argument
227	Besides , pregnancy rarely happens from rape .	argument
228	The presence of serious maternal illness deriving from pregnancy , e.g. , preeclampsia , H.E.L.L.P. syndrome .	argument
229	""" Fetuses are incapable of feeling pain when most abortions are performed ."	argument
230	In fact , all it takes to refute this argument is one example that shows we can not do whatever we want with our bodies .	argument
231	As Solicitor General of Texas , I was proud to successfully defend a federal law that bans partial birth abortion and to lead 18 states in defending New Hampshire 's parental notifications laws , both cases that we successfully won at the Supreme Court , marking two significant victories for life .	argument
232	Take away her reproductive choice and you step onto a slippery slope .	argument
233	"The act states that : "" [ T ] he life of each human being begins with fertilization , cloning , or its functional equivalent , irrespective of sex , health , function or disability , defect , stage of biological development , or condition of dependency , at which time every human being shall have all the legal and constitutional attributes and privileges of personhood . "" ]"	argument
234	Undisputed science , from a host of sources , states that life begins at conception .	argument
235	Personal choices that infringe on the life or livelihood of another human being must be legislated against .	argument
236	""" Abortion is the killing of a human being , which defies the word of God ."	argument
237	Pro-life advocates contend that elective abortion unjustly takes the life of a defenseless human being .	argument
238	Is this really the equality we were looking for 42 years ago ?	argument
239	Adoption is not an alternative to abortion , because it remains the woman 's choice whether or not to give her child up for adoption .	argument
240	Why then should we restrict a woman ’s right to choose to terminate a pregnancy when it is the same as her right to choose what school to go to , what medical procedure to undertake , what profession to pursue , or what opinions to express ?	argument
241	As someone who is public about why I am pro-abortion , and about my own story , here are eleven lame shaming themes I ’ve encountered , along with my responses .	argument
242	Even though adoption is an option what would it be like to see your child 20 years later and have them learn you did n't want them ?	argument
243	Even the House Republican late-term abortion bill that passed the House and failed in the Senate on a party-line vote included exceptions allowing late-term abortion if the child was conceived through rape or incest or the woman 's life was in danger .	argument
244	If the government can force a woman to continue a pregnancy , what about forcing a woman to use contraception or undergo sterilization ?	argument
245	"By the time a baby is conceived , he or she is recognized by God , as demonstrated in Jeremiah 1:5 : "" Before I formed thee in the belly I knew thee ; and before thou camest forth out of the womb I sanctified thee ... "" The Sixth Commandment of the Bible 's Old Testament , "" Thou shalt not kill "" ( Exodus 20:13 ) , applies to all human beings , including unborn babies ."	argument
246	"They also ruled that the word "" person "" in the Constitution did not include a fetus ."	argument
247	This suggests that many women are using abortion as a contraceptive method .	argument
248	If the government has the right to control people ’s childbearing that way , then it might , under some other set of pressures ( such as reducing the welfare load ) choose to fund abortion for the poor but not prenatal care and childbirth .	argument
249	Just maybe a woman has become pregnant despite all birth control attempts because the child is destined to do something great .	argument
250	( BennyW ) “ How could a human individual not be a human person ? ”	argument
251	Rape is a horrendous crime that leaves a woman in a state of mental , physical and emotional turmoil .	argument
252	Critics of this typically argue that some of the proposed criteria for personhood would disqualify two classes of born human beings – reversibly comatose patients , and human infants – from having a right to life , since they , like fetuses , are not self-conscious , do not communicate , and so on .	argument
253	When an abortion cuts short a pregnancy , women 's breast tissue is left in a dangerously stimulated but undifferentiated state , increasing the risk of later cancerous development .	argument
254	Abortion should not be legal in the U.S. Abortion must be stopped .	argument
255	If there is no legal , viable alternative , this percentage of couples or mothers will inevitably have to resort to these back-alley operations , which are highly dangerous .	argument
256	Half of Americans prefer the term pro-life , and most of us have moral qualms about abortion .	argument
257	But if that is true , newborns do not qualify as valuable human beings .	argument
258	Pregnancy is a huge strain on the heart and most of that impact occurs early on in the pregnancy .	argument
259	While the decision will always be difficult , the decision is not ours to make , and as such we have no right to deny someone his or her own choice .	argument
260	If you would not be killed , do not kill .	argument
261	Some wo n’t , but I ’m honestly more interested in pulling the moderates to our side than I am worried about helping the most hardcore pro-choice people become even more extreme .	argument
262	So they have to deny the moral principle that leads to the pro-life conclusion .	argument
263	Then you do n't have to worry about children .	argument
264	The World Health Organization estimated in 2004 that unsafe abortions cause 68,000 maternal deaths worldwide each year , many of those in developing countries where safe and legal abortion services are difficult to access .	argument
265	Likewise , in the stare decisis passages of Casey , the Court emphasizes , as a reason to reaffirm Roe , that “ [ t ] he ability of women to participate equally in the economic and so­cial life of the Nation has been facilitated by their ability to control their re­productive lives . ”	argument
266	It ’s absolutely disgusting that you compared the genocide of these people to make abortion unjustifiable .	argument
267	Legalized abortion could turn babies into science experiments .	argument
268	Abortion is not murder because it is performed before a fetus has developed into a human person .	argument
269	An accurate understanding of prenatal development makes it impossible to argue that abortion is the mere removal of undifferentiated cell tissue or that the developing embryo is simply a part of the mother 's body .	argument
270	It s wrong and you re murdering a baby .	argument
271	People who do n't value life kill people .	argument
272	Many abortion supporters have a huge financial stake in keeping abortion legal .	argument
273	Pro-choice advocates claim this is n't a real baby only to justify their wrong acts in their own minds .	argument
274	Modern medicine makes abortion is less of a risk .	argument
275	Millions of American women have aborted a child , and the pain , loss , and emotional need to justify what was done , both on the part of the mother and on the part of her loved ones , is strong and deep .	argument
276	However , legislation was proposed by anti-abortion advocates that would require abortion providers to tell a woman that the fetus may feel pain during an abortion procedure .	argument
277	LEGAL ABORTION <br /> <ul> <li> The 1967 Abortion Act makes abortion legal if the pregnancy is less than 24 weeks and two doctors agree that the abortion can be carried out .	argument
278	But you never know what that baby could have been in life because you never gave it a chance .	argument
279	The documents of our founding fathers state that we are all entitled to life , liberty , and the pursuit of happiness .	argument
