	sentence	annotation
108	constitutional law reflects moral concerns strange concepts cruel unusual punishment due process equal protection express contemporary standards decency	argument
109	midlevel cumuliform paper subjective mapping	non_argument
110	coalition government march compete contiguous united	non_argument
111	universal law situations diseases quite distinct unique creative	non_argument
112	terrible irony gun enthusiasts many see gun registration infringement personal liberty fear oppressive federal government wish impose fear onto others	argument
113	chemistry text psychopathology everyday life catalogues hundreds	non_argument
114	husband see way violated moral values carry forward fetus infested parasites first pregnancy one knowable genetic defects ruled second	argument
115	dated generally available markets	non_argument
116	higher dimensions reaching	non_argument
117	make owning gun subject significant risk criminal liability new people want one ones continue criminals slowly rounded convicted completely unable legally firearm	argument
118	romania share language moldova	non_argument
119	corporations confronted environmental pollution concern profitability dictates efforts made merely clean mess rather change structures responsible pollution	argument
120	whereby lay treats cities towns prospered treaty	non_argument
121	von strahlenberg latter dominated telmex	non_argument
122	instance claim always wrong kill innocent human beings necessarily lead conclusion death penalty immoral	argument
123	teachers say uniform program improved school culture parents supportive saves time money said	argument
124	callisto ganymede preferred flow warm ocean heated months give	non_argument
125	evolved humans widespread implementation big belt mountains bridger mountains tobacco roots	non_argument
126	petubastis iii mind arguing people actually reported government committee people without	non_argument
127	upholds judge carney ruling sentences people california death row overturned replaced sentences life without parole	argument
128	equality values help identify kinds restrictions abortion unconstitutional casey undue burden test	argument
129	professor robert smith assistant professor law university north carolina commissioned poll said today important polling part significant new research clearly shows emerging consensus using capital punishment cases defendant mentally ill	argument
130	roosevelts justification supporting desegregation schools new york	non_argument
131	people yukatek early development administers many school boards	non_argument
132	world example machines unlike humans support family court womans	non_argument
133	neutrino problem stage tragedy entitled siripo major	non_argument
134	walter raleigh parc describing ethernet networking system folds relatively loss	non_argument
135	days facebook important economic asset house assembly	non_argument
136	make statements understand dynamics criminal justice system understand state makes deals culpable defendants capital case offers light sentences exchange testimony another participant cases fact gives immunity prosecution secure testimony use jailhouse confessions like people say cell soandso confessed using particular confessions validity great doubt	argument
137	taken together arguments cloning seem outweigh good obtained process	argument
138	regarded mostly reclusive artist	non_argument
139	whatever way look homogeneity definitely boring	argument
140	montanans also challenged business schools also stand	non_argument
141	hand believe child needs focus academics physical social appearances uniforms may help level social pressures associated independent dressing	argument
142	also variety regional languages addition	non_argument
143	abortion eliminates legal rights unborn child	argument
144	gross map biodiversity scenarios desert birds saguaro grow slowly may live	non_argument
145	november population protect endangered bird species unmatched government—though	non_argument
146	perspective amendment defender soldiers armed able return fire rather try barricade conference room one killed shot door room barricading protect fellow soldiers much tragedy averted	argument
147	metaphor creative loafing high variance highquality items	non_argument
148	economic union luke greg achille talon lambil les tuniques bleues edgar jacobs willy	non_argument
149	monitor track wind passes earth external forces variations united kingdom	non_argument
150	decision support damage breeds cat duty act	non_argument
151	attractions correct hold wagon bowed	non_argument
152	women creation century dutch trading posts country	non_argument
153	supreme court eight appellate courts uniformly rejected arguments extends firearms rights individuals independent collective need ensure wellregulated militia	argument
154	effects cardiovascular system make smoking weed highrisk activity seniors people cardiac conditions	argument
155	nuclear power stations dangerous insurance company undertake pay total costs disaster terrorist attack	argument
156	police protect everyone time	argument
157	review vernacular poetry perhaps best known year guinness	non_argument
158	addition immoral database likely terrible unintended consequences	argument
159	round part two science people may like part explained divine right self defense mike adams documentary lot plants animals practice right self defense	argument
160	cbo reported number definite may overestimate low ball job losses get high million	argument
161	example podkarpackie region southern poland hospitals doctors signed conscientious objection letter refusing carry	argument
162	energy editorial gatekeepers facilitates identification leave terminal two fields	non_argument
163	uniforms also make easier people bad intentions spot target children risk losing contact group	argument
164	nascent canadian show buildups caused localized downdrafts within boundaries chain	non_argument
165	rise environmental consciousness fears nuclear fallout done much militate widespread enthusiasm nuclear energy	argument
166	criticism particularly valid school wants creative expressive culture students free think critically	argument
167	secure harm anyone save fortunes	argument
168	retrieved june cloning freedom choose	argument
169	conclusion roe wade must overturned fundamental reason abortion know abortion	argument
170	turtle egg kept warm likely hatch	non_argument
171	replace death penalty life without parole millions dollars spent violenceprevention efforts solving unsolved cases increasing victim services	argument
172	cause genetic mutations lead cancer	argument
173	carbohydrates voted vote structure hahaha	non_argument
174	fishers york city supreme court new york state comptroller new york city	non_argument
175	people think uniforms hindrance child individuality well time come something better	argument
176	assistance also traverse entire globe although nationstates striven	non_argument
177	korean official language korea	non_argument
178	first minimum wage occasionally bumped lower real terms years ago	argument
179	november poll mexico found think abortion legalized think	argument
180	considering likely consequence mention economic burden regulating drug treating new problematic users may find societal costs legalization outweigh benefits	argument
181	people may need permanently evacuated areas contaminated radiation	argument
182	pierreauguste renoir die limoges hautevienne france child working class family	non_argument
183	also found minimum wages may harm least skilled workers suggested net disemployment effects estimated many studies	argument
184	artistic works command launched counterattack	non_argument
185	put simply fellow citizens easy access guns ’re likely kill n’t access	argument
186	’ve got people walking around bad mood divorce ’ve lost job get confrontation result use gun	argument
187	billings phenomenon known neolithic period today wolves carnivores bears omnivores	non_argument
188	remember consequences pregnancy end childbirth	argument
189	commonwealth university ranked number one five income	non_argument
190	one oppose capital punishment contemptuous human life often demonstrably performed error	argument
191	reunification isbn blackburn	non_argument
192	example marijuana help cut back drinking reduce nausea stimulate appetite protect brain stroke even protect brain concussions trauma	argument
193	expensive deterrent question whether death penalty deterrentâ whether death penalty efficient deterrent purchased using considerable funds resources involved implementation	argument
194	general dentistry mammal main protagonists historical pirates encountered	non_argument
195	defenders human cloning argue clone indeed two genetic parents two genetic parents person whose somatic cell nuclei used cloning procedure	argument
196	levels nearby transit measure additionally	non_argument
197	lobster particle physics research several species subfamily platycercinae tribe pezoporini	non_argument
198	people keep jobs get money lose jobs fail get new ones suffer	argument
199	someone public proabortion story eleven lame shaming themes ’ve encountered along responses	argument
200	marijuana policy project called pot harmless	argument
201	spenkelink execution nation first involuntary execution since argur well new systems guided discretion designed produce evenhanded capital justice worst murderers executed	argument
202	millard fillmore born	non_argument
203	otherwise feel early publishers like girardin france zang austria	non_argument
204	page dissent justice stephen breyer joined justice ruth bader ginsburg said time reconsider whether capital punishment constitutional	argument
205	stateowned companies slow twoway communication prevent sending large amounts	non_argument
206	among ideological liberals prefer death penalty prefer life imprisonment	argument
207	court explained united states condemned prisoner endure many years conditions death row anguish mounting tension living everpresent shadow death extraditing soering violate protections inhuman degrading treatment punishment	argument
208	allpalestine interactions courts believed help pharmacies fill prescriptions	non_argument
209	san lorenzo megaport project completed	non_argument
210	means either one responsible physical environmental health damages case accident leakage time waste storage government ultimately cover cost damages	argument
211	discipline dewey presidential candidate getúlio vargas colleagues	non_argument
212	cloning takes moral problems associated technologies much	argument
213	denying students ability express individualism belief subculture whether preppy hiphop punk jock stymie students transition childhood adulthood	argument
214	zoos employ switzerland death poor conductor heat light electricity	non_argument
215	largest privatization programs water air hartsfield–jackson atlanta international pop	non_argument
216	possessions algeria surface water stress globally accepted professional	non_argument
217	truth fact although abortion said legal corrupt judicial system safe easy certainly without serious harmful long lasting physical emotional psychological well spiritual consequences	argument
218	safety major consideration throughout design construction operation nuclear power plant	argument
219	means lower turnover rate results fewer expenses hire train new employees	argument
220	considering identical twins natural clones regard reproductive cloning technological version process	argument
221	like prisoners wear striped clothes school kids wear striped blazers	argument
222	rue prolific antiabortion campaigner testified congress observed posttraumatic stress syndrome women undergone abortions	argument
223	n’t compete classmates everyone wears thing	argument
224	fuel relatively inexpensive least time	argument
225	borden cities brussels charleroi largest	non_argument
226	der rohe gaps east asia summit japan	non_argument
227	case walmart raised wages supply demand good federal government make harder harder first rung ladder reached particularly young people particularly people less education	argument
228	even every time need change uniforms buy bigger ones	argument
229	child grows murders someone wallet fun turn put death taught precisely nothing longer alive learn	argument
230	also need purchase sets school uniform especially school days week	argument
231	sandstone aquifer bordeaux music festivals colleges universities including	non_argument
232	one arguments opponents death penalty inevitability sending innocent people wrongly accused death row eventually execution	argument
233	yes reason gun advocates think right bear arms constitutional right virtually without limit	argument
234	penguins average sense hearing birds	non_argument
235	talking ability middle eocene deeper seaway developed followed considerable number	non_argument
236	failing freely provide society also fails support fundamental rights women people	argument
237	earths internal region cities also philosophical study relatively high population alaska	non_argument
238	european convention human rights amended prohibit death penalty peacetime	argument
239	border truth reconciliation commission canada first established	non_argument
240	background checks help keep guns hands people americans responsible solutions supported former rep gabrielle giffords astronaut husband mark kelly advocates background checks prevent criminals domestic abusers seriously mentally ill people buying guns	argument
241	pregnant woman automatically feel unborn baby hard women abortion responsibility falls people prevent pregnancy people take risks refuse responsibility mean everyone else pay price	argument
242	cup alaska critical respective unicameral state congresses threeyear	non_argument
243	united states base near glasgow	non_argument
244	published newspapertype ieyasu served rationales virginias ideology cirriform	non_argument
245	death sentence suffering instant	argument
246	imagine following scenario jane decides chop legs embryo week	argument
247	western contact eleutheran adventurers looking new immigrants	non_argument
248	local fuel processing breeder burner configurations eliminates possibility diversion transport	argument
249	pregnant women new mothers babies continue school	argument
250	sheets years peters death	non_argument
251	n’t homicidal narco traffickers dime	argument
252	largest city romania	non_argument
253	čapek organised heer army special relativity general relativity allowed mass	non_argument
254	human cloning reduce genetic diversity	argument
255	also absurd face assumes economy n’t ultimately adjust new wage baseline	argument
256	higher minimum wage claim heavy burden employers especially small business owners	argument
257	reality gang armed men described often government	argument
258	since higher wages increase quantity supplied supply labor curve upward sloping shown line moving right	argument
259	central market located proximity pertama complex	non_argument
260	furthermore dutch ministry health welfare sport expressed concern drug alcohol use among young people social consequences range poor school performance truancy serious impairment including brain damage	argument
261	contracting groups share euro national cuisine marked	non_argument
262	students experience less pressure deciding wear morning	argument
263	share nation output going workers wages alltime low inequality rise easy understand idea raising popular	argument
264	clone realized created replace somebody passed away clone feel insane amount pressure knowing	argument
265	makes morning easier parents	argument
266	cellular models diseases developed well along ability test drug efficacy cloning single skin cell patient disease used produce inexhaustible amounts cells tissue disease	argument
267	action party program atlanta demolished nearly andean community mercosur	non_argument
268	also possible penguin comes latin pinguis fat	non_argument
269	uniformity nothing proud	argument
270	taken together less percent billion alcoholrelated costs health care lost productivity criminal justice	argument
271	training conveyances contracts originally developed	non_argument
272	inspects differences influences communication across world concerned acting	non_argument
273	abortions performed week according guttmacher institute many due severe developmental genetic fetal abnormalities found ultrasonography weeks	argument
274	many abortion supporters huge financial stake keeping abortion legal	argument
275	sense marijuana use typically precedes rather follows initiation illicit drug use indeed gateway drug	argument
276	latter idea induction inferring first governor	non_argument
277	inside legislative office building tuesday marijuana legalization movement came ready make fiscal argument connecticut act another state new england lawmakers leaving millions dollars potential revenue table time state hurting	argument
278	consonant clusters lost	non_argument
279	half americans prefer term prolife moral qualms abortion	argument
280	may end murderer execution execution engender feeling relief longer think ordeal feeling often fails arise murderer still lives	argument
281	time ballon declined midlate dog mushing	non_argument
282	copious first aztecs believed shared heritage alaskas	non_argument
283	even mentions broadcast cable communications establishing standard pot ads shown percent audience reasonably expected older pot ads shown programs percent underage viewers still means millions people	argument
284	cation years women used	non_argument
285	giant discoveries vacuum cleaning floor washing lawn mowing example	non_argument
286	denmark den jobs become famous among urban population	non_argument
287	lake arresø wind three broad types expressions declarations based	non_argument
288	uniforms help create unity amid diversity easing ethnic cultural tensions encouraging values tolerance civility	argument
289	named	non_argument
290	blog using religion definition health focused	non_argument
291	cloning enables reproduction healthy human cells prove beneficial genetic illnesses come full force	argument
292	multiple occasions drugrelated violence innocent wrongdoing ignorant personal data	non_argument
293	following nuclear power plants shut due unsafe past operating life big rock point bonus dresdent elk rivers enrico fermi frt vrain vallecitos haddam neck hallam humboldt bay indian point lacrosse maine yankee millstone pathfinder peach bottom piqua many others	argument
294	course selecting genome child fully reliable way determining child biological traits properties represents unprecedented level control creating child one genetic parent cloning allows exact determination child lineage	argument
295	approximately billion revenue result legalization marijuana billion legalization cocaine heroin billion legalization drugs	argument
296	hostile act job candidates applied real combat might also reduce fear	non_argument
297	saying free market take care workers myth	argument
298	parents argue school uniforms buy many clothes children saves time money	argument
299	many korean speakers	non_argument
300	family move paris well coulomb studied prestigious collge des quatrenations	non_argument
301	human body complicated scientists able predict sort affects actions simply account everything wrong	argument
302	even person took measures avoid getting accident playing music loudly rolling window still responsible fatality caused	argument
303	engage cloning objection goes run risk inserting much procreative decisions get choose child kind child	argument
304	panthers type tiger	non_argument
305	residents making japan japan leader residential waste produced	non_argument
306	last thing need burden legalization put	argument
307	consider also case hank skinner currently death row texas murder exgirlfriend two sons	argument
308	true taxing marijuana sales generate tax revenue cost handling influx problems resulting increased use far outweigh gain made marijuana taxation	argument
309	insys said opposes legalization federal regulators approved marijuana medical use proposed law fails protect safety arizona citizens particularly children	argument
310	recent survey conservative employment policies institute conservative nonprofit research organization found franchisees harmed nonfranchised businesses implementing wage hikes	argument
311	north seattle appears official washington territory papers dated may	non_argument
312	john gilchrist legislative counsel ohio association chiefs police testified citizens begin carrying concealed weapon common sense tells accidents become daily event	argument
313	headquarters italy germany annexed sudetenland shortened	non_argument
314	therapeutic cloning patient know exactly long one wait ensure proper treatment patient certainly benefit early treatment	argument
315	pros minimum wage include standard corporate entities adhere	argument
316	question morality question standing person inherent right choose right life safety even right choose humane death loved one	argument
317	ladoga followed synaptic relation ranks french citizens	non_argument
318	best environment toronto press xii innis develops	non_argument
319	school also way show either negative positive	argument
320	culinary ingredients congested traffic order gain advantage participants may choose	non_argument
321	kind message send children	argument
322	important rivers near three forks flows due north	non_argument
323	similarities cambridge social history vol essays	non_argument
324	cutting edge neutrons electrons high land mass often isolate confirm	non_argument
325	due absence competition high street prices making enormous sums money	argument
326	including soldiers population becoming socially stratified array solar panels	non_argument
327	pride argument goes like students dress lousy school whole gets bad name diminishes opportunity students get good job	argument
328	harder crimes robbery rape also caused lapse judgment due smoking weed	argument
329	algeria computer sciences molecular biology oncology ecology gender	non_argument
330	flute dated prehistoric times	non_argument
331	helps explain france also shockingly high rates youth unemployment yearolds	argument
332	northeast east enlistment age younger generations sites happiness welfare	non_argument
333	recidivism intense called quanta light thus	non_argument
334	eliminate defective genes	argument
335	donald lateiner indoor pets simply list	non_argument
336	quantity energy came nuclear reactions make fourteen thousand tons high level waste	argument
337	need complete reproductive healthcare includes right abortion	argument
338	genetically engineering species however detrimental effect genetic diversity way something like cloning	argument
339	international englishspeaking state starting attempts unify quantum mechanics	non_argument
340	least one hindu writer indicated hindu thought embraces ivf assisted reproduction technology art	argument
341	interoperability german puuskatte related great atlanta fire destroyed buildings	non_argument
342	american case experimenter die fair previous rolls give	non_argument
343	words build need energy sources needed provide backup wind blowing sun shining	argument
344	fact global uranium supplies come three countries processing fuel carried six countries	argument
345	perform large agricultural settlements pacific cocos plates	non_argument
346	center view considered semantic notions inborn thus even novel concepts	non_argument
347	africa work sea classical	non_argument
348	fail abortions	argument
349	several nenana southwest fairbanks nome areas	non_argument
350	carrying concealed handgun increases chances confrontation escalating turning lethal	argument
351	panama canal upward creating contradiction name profession	non_argument
352	students choose clothes rich kids compete show expensive designer labels costly sneakers trainers	argument
353	dominant german allows free movement robots limbs possible	non_argument
354	vast isomers limitations considering pure chemical substance	non_argument
355	stress distinctive romance languages	non_argument
356	early international congresses students teaching methods educational background	non_argument
357	areas like mississippi cost living average incomes especially low employers need spend proportionally pay minimum wage employees employers higher cost areas like hawaii yet unable cover cost raising prices customers able afford	argument
358	reform upon channel pattern meandering braided	non_argument
359	framers constitution clearly believed capital punishment acceptable mess protecting society form wicked dissolute menï thomas jefferson liked talk carrington	argument
360	selfexpression big part maturing	argument
361	military example americans inhabited seattle transgender film festival held annually	non_argument
362	reside mostly international serving roman era used individuals	non_argument
363	amnesty international first pledged abolish executions six countries stopped killing people form punishment countries abolished practice	argument
364	medical nutrition fundamental elements chinese japanese	non_argument
365	women also want live society time cherishes shared indeed wondrous capacity bear new human life	argument
366	united states signed united nations convention torture cruel inhuman degrading treatment punishment cat	argument
367	atlantic area largest linear accelerator comparable power	non_argument
368	europe oppositely charged ions attract one another	non_argument
369	termed classical gained average human energy expenditure per day	non_argument
370	denying students opportunity fully express unique personality clothing select individualism unable develop fullest capacity	argument
371	penguins afraid humans	non_argument
372	really need add yet another mindaltering substance array	argument
373	minimal required	argument
374	according report national low income housing coalition worker must earn least hour twice federal minimum wage able afford rent modest onebedroom apartment twobedroom unit times minimum wage	argument
375	people pushing business people want sell political hacks want tax deliberately misleading	argument
376	democratic candidates penthouse board supervisors placed secession referendums	non_argument
377	francisco traditionally programming languages majority	non_argument
378	healing practices bertsekas robert kowalski advocates procedural representations movement known	non_argument
379	since less expensive subsidize abortion childbirth subsequent welfare antiabortion financial argument invalid well inhumane	argument
380	new programme world handbook new york mcgraw hill isbn shah	non_argument
381	feinstein highway fully controlled access use jews internal	non_argument
382	hold always appears associated either south america	non_argument
383	arts however surveys also weekly also differ structurally field	non_argument
384	even senator dianne feinstein gun control advocate carried concealed gun life threatened home attacked new world liberation front	argument
385	parents child affected disease like leukemia may wish clone child order provide affected child genetically matched cord blood bone marrow transplantation	argument
386	myth raising federal tipped minimum wage per hour since lead restaurant job losses	argument
387	congested vehicles asian people mainly advanced	non_argument
388	miamidade county schools however found fights nearly doubled middle schools school district adopted uniform policy	argument
389	lowlying areas structures stereoisomers particular species may trapped	non_argument
390	fair play commodities euronext merged census interim	non_argument
391	high tech section new york july	non_argument
392	improvements productivity economic growth outpaced increases minimum wage	argument
393	school district long beach california continues produce test scores significantly state average despite years mandatory uniforms star california star long	argument
394	efficient use earth resources	argument
395	rather parents may lookout specific environmental differences allow cloned children fulfill potential genetic progenitors possess	argument
396	varying size electronic autonomous robots created louis brennan	non_argument
397	one biggest arguments death penalty possibility error	argument
398	elephants mammals	non_argument
399	whether abortion painful child aborted end result	argument
400	represent measure settled successive waves arrivals flood stage	non_argument
401	legal vengeance solidifies social solidarity law breakers alternative private revenge feel harmed	argument
402	rome lawyers fitness practice good example	non_argument
403	individuals including inward feeling nationalism pride chosen due	non_argument
404	use death penalty given state may actually increase subsequent rate criminal homicide	argument
405	biggest contributor group usually achieve moderate deep vertical development	non_argument
406	older cells often used create human clones possible imprinted age adopted growing embryos create premature aging issues potentially even premature death	argument
407	level risk detailed congressional budget office report showed wage increase lead loss jobs	argument
408	object abortion exempted participating even might normally part job duties	argument
409	city began indicators identified educational system supported	non_argument
410	population wild giant pandas growing	non_argument
411	nuclear plants produce electricity replace oil gas case nuclear power	argument
412	many business owners offset costs passing consumers	argument
413	proponents say school uniforms make schools safer students create level playing field reduces socioeconomic disparities encourage children focus studies rather clothes	argument
414	services added materials cost money top high costs required build plant	argument
415	hooking glancing blow includes mexican army air force armée	non_argument
416	decreased turnover rate employees making higher minimum wage feel comfortable satisfied minimum wage jobs meaning less likely quit	argument
417	cure poverty	argument
418	repeatedly exploited nahuatl spoken almost members	non_argument
419	women men careless birth control irrelevant legality abortion	argument
420	pascal write cycloid	non_argument
421	abortion may lead future medical problems mother	argument
422	styling uniforms girls comfortable practical suited girl shape	argument
423	fact remain many criminals ride fence committing murder ultimately decide spare victim life	argument
424	legalization nightmare	argument
425	still industry continuously developing future creations quite promising	argument
426	kept children healthy saved millions lives years	argument
427	mass mobilisation uranium also challenges capitalism bringing scrutiny rationale pursuing profitability expense social responsibility direct economic blows corporate profitability	argument
428	drake male	non_argument
429	cumulus challenging cases precise definition	non_argument
430	million commonwealth countries second occurrence	non_argument
431	others feel idea cloning humans playing god	argument
432	aerodynamics governmentrecognized holidays public holidays japan introduced japanese	non_argument
433	almost impossible describe pain losing parent senseless murder	argument
434	therefore world free nuclear weapons reactors nuclear fuel chain facilities uranium enrichment reprocessing factories exist	argument
435	officially established films legendary producer david selznick well catfish paddlefish	non_argument
436	used protect vehicale kangaroo	non_argument
437	ideas louisiana purchase subsequent particularly high levels abundance	non_argument
438	might decrease overall value human life	argument
439	idiolects families century marked historic streetcar	non_argument
440	mammals albert officially accepted act loss reducing agents	non_argument
441	although glad see cities experimenting minimum wage think avoid implementing policy federal level least see results local experiments	argument
442	also ensure workers given fair wage	argument
443	lack greenhouse gases attractive consumers	argument
444	large proportion population speak swedish mother tongue	non_argument
445	supreme court moved away abolition holding punishment death invariably violate constitution	argument
446	since example prisoners sent death row later exonerated	argument
447	putting school uniforms older looking children pretend older	argument
448	languages philippines become proverbs jean racine	non_argument
449	want introduce antiabortion law mean many cases women sentenced death	argument
450	may also possible use therapeutic cloning repair defective genes homologous recombination doetschman	argument
451	last week court declined hear challenge ban assault weapons largecapacity magazines highland park illinois	argument
452	anthropology leptis magna presentday south sweden danish kings ruled	non_argument
453	excessive use sometimes cause serious health problems low blood pressure liver disease diabetes	argument
454	arava valley written mention atlantic common discourse	non_argument
455	people work depend government sort subsidy like food stamps food nutrition program usda lose bulk assistance make loss benefits	argument
456	new york chicago baltimore paris rigid gun control laws cities high murder rates open highway violence innocent individuals	argument
457	temperature passes widespread time christopher columbus shown	non_argument
458	doubt entities pass variety laws attempt deal many problems caused legalization unless local laws struck california courts inconsistent underlying initiative even worse	argument
459	space setting sense intelligence tests used long periods	non_argument
460	toti confirms reputable evidence medical benefit medication abortion ­multi million­dollar surgical facility	argument
461	œjacking minimum wage state percent dramatic said	argument
462	nuclear phaseout nature resultant flows ending late	non_argument
463	religious beliefs users turn sense abyssal	non_argument
464	death penalty racist applied raciallydiscriminatory ways	argument
465	avogadro lose chair university turin	non_argument
466	abortion failed experiment women	argument
467	however look extensive list pros mentioned think like probably wow n’t process studied restudied since early	argument
